Institution Name,Size,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,Institution Name_clean,Institution Name_matched,Rank,School Name,Prior Rank,Scaled Score,Prior Scaled Score,School Name_clean
"University of California, Davis",XL,63.0,48.0,23.5,52.5,72.7,51.3,90.6,22.8,76.1,university of california davis,university of californiadavis,218,University of California-Davis,235.0,66.2,65.2,university of californiadavis
Rice University,M,39.1,27.3,62.5,87.9,77.5,94.1,62.2,29.5,20.6,rice university,rice university,14,Rice University,19.0,88.8,88.3,rice university
Michigan State University,XL,59.5,48.6,11.4,50.3,54.5,12.4,97.5,57.1,96.3,michigan state university,michigan state university,169,Michigan State University,176.0,69.4,69.1,michigan state university
Texas A&M University,XL,61.2,66.0,4.4,64.3,21.9,12.1,92.6,44.4,39.5,texas am university,texas am universitycollege station,145,Texas A&M University-College Station,185.0,71.5,68.4,texas am universitycollege station
"University of North Carolina, Chapel Hill",XL,61.4,36.5,72.9,47.2,23.5,11.1,91.6,55.2,44.6,university of north carolina chapel hill,university of north carolina at chapel hill,53,University of North Carolina at Chapel Hill,50.0,80.8,82.1,university of north carolina at chapel hill
Washington University in St. Louis,L,36.3,12.0,99.7,47.7,69.5,72.4,83.6,31.9,86.7,washington university in st louis,washington university in st louis,18,Washington University in St Louis,20.0,86.8,88.1,washington university in st louis
"University of California, Santa Barbara (UCSB)",L,52.6,21.3,7.7,97.8,75.4,17.2,71.2,7.9,28.4,university of california santa barbara,university of californiasanta barbara,184,University of California-Santa Barbara,203.0,68.3,67.4,university of californiasanta barbara
Emory University,L,25.2,19.0,93.8,78.4,52.2,33.9,85.6,22.8,37.0,emory university,emory university,29,Emory University,37.0,84.1,83.8,emory university
University of Minnesota Twin Cities,XL,56.8,33.1,32.4,41.9,7.7,8.7,91.7,52.5,96.5,university of minnesota twin cities,university of minnesota twin cities,123,University of Minnesota Twin Cities,134.0,72.7,73.0,university of minnesota twin cities
The Ohio State University,XL,58.6,50.4,39.5,31.2,13.4,10.6,94.6,45.3,50.8,ohio state university,iowa state university,283,Iowa State University,299.0,63.5,62.1,iowa state university
University of Florida,XL,46.7,42.3,62.9,32.1,17.8,10.3,98.3,44.5,60.6,university of florida,university of florida,73,University of Florida,97.0,77.3,75.3,university of florida
"University of Maryland, College Park",XL,48.6,29.4,32.5,55.0,20.9,16.2,92.3,41.2,54.4,university of maryland college park,university of marylandcollege park,77,University of Maryland-College Park,92.0,77.0,75.9,university of marylandcollege park
University of Rochester,M,22.6,20.8,99.1,33.6,63.9,93.8,64.3,40.4,63.7,university of rochester,university of rochester,71,University of Rochester,79.0,77.7,77.5,university of rochester
Dartmouth College,M,22.8,31.0,65.8,60.6,9.2,40.9,42.5,68.8,71.2,dartmouth college,dartmouth college,11,Dartmouth College,13.0,89.3,89.8,dartmouth college
Vanderbilt University,L,24.4,21.8,100.0,53.0,30.1,36.0,78.6,34.7,24.5,vanderbilt university,vanderbilt university,16,Vanderbilt University,23.0,87.6,87.9,vanderbilt university
Case Western Reserve University,M,17.2,15.4,82.3,61.6,35.7,71.7,55.6,29.3,53.1,case western reserve university,case western reserve university,76,Case Western Reserve University,88.0,77.0,76.5,case western reserve university
University of Massachusetts Amherst,L,38.2,17.2,10.0,48.8,61.0,25.3,79.8,30.6,83.4,university of massachusetts amherst,university of massachusettsamherst,128,University of Massachusetts-Amherst,138.0,72.6,72.9,university of massachusettsamherst
University of Pittsburgh,L,35.0,12.7,96.3,31.3,9.5,13.5,91.7,42.6,53.5,university of pittsburgh,university of pittsburghpittsburgh campus,110,University of Pittsburgh-Pittsburgh Campus,130.0,73.5,73.2,university of pittsburghpittsburgh campus
The University of Arizona,XL,37.3,22.2,44.4,38.8,31.6,15.1,94.1,37.1,40.4,university of arizona,university of arizona,322,University of Arizona,387.0,62.1,58.9,university of arizona
University of Virginia,L,37.3,27.3,55.8,29.1,6.1,11.3,81.6,77.9,35.4,university of virginia,university of virginiamain campus,27,University of Virginia-Main Campus,35.0,84.4,84.3,university of virginiamain campus
Georgetown University,L,29.3,41.9,63.0,14.0,28.0,37.3,62.5,90.9,37.0,georgetown university,georgetown university,28,Georgetown University,30.0,84.2,85.7,georgetown university
"University of California, Irvine",XL,37.5,22.3,17.3,40.7,43.9,58.7,84.1,11.2,36.0,university of california irvine,university of californiairvine,191,University of California-Irvine,187.0,67.6,68.1,university of californiairvine
North Carolina State University,XL,26.7,25.4,9.8,63.4,55.0,17.0,78.1,21.5,35.7,north carolina state university,north carolina state university at raleigh,114,North Carolina State University at Raleigh,147.0,73.4,71.6,north carolina state university at raleigh
University of Notre Dame,L,25.8,25.2,60.8,29.2,22.3,18.4,70.1,60.2,68.9,university of notre dame,university of notre dame,15,University of Notre Dame,11.0,88.7,90.0,university of notre dame
University of Colorado Boulder,XL,36.1,17.5,38.3,34.9,32.2,4.9,86.3,31.6,62.8,university of colorado boulder,university of colorado boulder,211,University of Colorado Boulder,302.0,66.5,61.9,university of colorado boulder
University of Miami,L,19.0,29.5,50.0,39.3,66.7,16.9,81.6,43.8,27.9,university of miami,university of miami,97,University of Miami,103.0,74.7,74.8,university of miami
Rutgers UniversityNew Brunswick,XL,36.2,28.1,46.3,12.8,18.0,28.2,78.0,25.7,95.4,rutgers universitynew brunswick,rutgers universitynew brunswick,100,Rutgers University-New Brunswick,111.0,74.3,74.4,rutgers universitynew brunswick
Tufts University,L,16.9,7.7,53.5,45.7,23.5,38.1,60.2,56.1,81.0,tufts university,tufts university,33,Tufts University,32.0,83.4,85.2,tufts university
Indiana University Bloomington,XL,33.4,23.6,23.3,29.1,36.3,10.8,86.6,56.8,32.7,indiana university bloomington,indiana universitybloomington,150,Indiana University-Bloomington,166.0,70.9,70.0,indiana universitybloomington
George Washington University,L,25.2,28.8,27.3,27.5,24.6,34.4,79.5,74.5,27.3,george washington university,george washington university,78,George Washington University,80.0,76.7,77.5,george washington university
